City/State,Temp,Humidity,Precipitation,Wind Speed,Weather Condition,Date
"Aliquippa,PA",23.4,61.0,0.0,5.8,Partly cloudy,2018-11-22
"Allison Park,PA",22.5,61.0,0.0,6.9,Partly cloudy,2018-11-22
"Ambridge,PA",23.4,61.0,0.0,5.8,Partly cloudy,2018-11-22
"Baden,PA",23.4,61.0,0.0,5.8,Partly cloudy,2018-11-22
"Bairdford,PA",22.5,60.0,0.0,6.9,Partly cloudy,2018-11-22
"Bakerstown,PA",20.2,66.0,0.0,5.1,Partly cloudy,2018-11-22
"Beaver,PA",25.2,64.0,0.0,5.8,Partly cloudy,2018-11-22
"Braddock,PA",22.5,61.0,0.0,6.7,Cloudy,2018-11-22
"Carnegie,PA",24.3,61.0,0.0,5.8,Cloudy,2018-11-22
"Cheswick,PA",22.5,60.0,0.0,6.9,Partly cloudy,2018-11-22
"Clinton,PA",22.9,62.0,0.0,5.8,Cloudy,2018-11-22
"Conway,PA",23.4,61.0,0.0,5.8,Partly cloudy,2018-11-22
"Coraopolis,PA",22.9,62.0,0.0,5.8,Cloudy,2018-11-22
"Crescent,PA",26.1,59.0,0.0,6.7,Cloudy,2018-11-22
"Curtisville,PA",22.5,60.0,0.0,6.9,Partly cloudy,2018-11-22
"Dravosburg,PA",22.0,60.0,0.0,6.7,Cloudy,2018-11-22
"Duquesne,PA",81.1,77.0,0.05,14.5,Patchy rain possible,2018-11-22
"East Mc Keesport,PA",22.0,61.0,0.0,5.8,Cloudy,2018-11-22
"East Pittsburgh,PA",22.0,61.0,0.0,5.8,Cloudy,2018-11-22
"Freedom,PA",25.2,64.0,0.0,5.8,Partly cloudy,2018-11-22
"Georgetown,PA",23.4,61.0,0.0,5.8,Partly cloudy,2018-11-22
"Gibsonia,PA",22.5,61.0,0.0,6.9,Partly cloudy,2018-11-22
"Glassport,PA",22.0,60.0,0.0,6.7,Cloudy,2018-11-22
"Glenshaw,PA",23.8,61.0,0.0,5.8,Partly cloudy,2018-11-22
"Homestead,PA",22.0,60.0,0.0,6.7,Cloudy,2018-11-22
"Hookstown,PA",25.6,60.0,0.0,6.9,Cloudy,2018-11-22
"Imperial,PA",54.7,49.0,0.06,9.8,Partly cloudy,2018-11-22
"Indianola,PA",22.5,60.0,0.0,6.9,Partly cloudy,2018-11-22
"Industry,PA",81.5,76.0,0.08,8.9,Light rain shower,2018-11-22
"Leetsdale,PA",23.4,61.0,0.0,5.8,Partly cloudy,2018-11-22
"Mc Kees Rocks,PA",56.9,69.0,0.0,8.5,Partly cloudy,2018-11-22
"Mckeesport,PA",22.0,60.0,0.0,6.7,Cloudy,2018-11-22
"Midland,PA",25.6,60.0,0.0,6.9,Cloudy,2018-11-22
"Monaca,PA",90.6,63.0,0.0,17.7,Partly cloudy,2018-11-22
