forecast_datetime_beginning_ept,Time,forecast_load_mw
,0:00,1489
11/14/2018 0:00,1:00,1419
11/14/2018 1:00,2:00,1390
11/14/2018 2:00,3:00,1379
11/14/2018 3:00,4:00,1385
11/14/2018 4:00,5:00,1412
11/14/2018 5:00,6:00,1490
11/14/2018 6:00,7:00,1615
11/14/2018 7:00,8:00,1688
11/14/2018 8:00,9:00,1706
11/14/2018 9:00,10:00,1742
11/14/2018 10:00,11:00,1695
11/14/2018 11:00,12:00,1736
11/14/2018 12:00,13:00,1724
11/14/2018 13:00,14:00,1701
11/14/2018 14:00,15:00,1686
11/14/2018 15:00,16:00,1691
11/14/2018 16:00,17:00,1694
11/14/2018 17:00,18:00,1767
11/14/2018 18:00,19:00,1758
11/14/2018 19:00,20:00,1735
11/14/2018 20:00,21:00,1692
11/14/2018 21:00,22:00,1645
11/14/2018 22:00,23:00,1579
